"","OBJECTID_1","mean_cn"
"1",1,50.2719114601477
"2",2,55.3916956111881
"3",3,61.0636690660896
"4",4,60.8309330819981
"5",5,59.9445938676708
"6",6,39.1717238214934
"7",7,62.4636089416375
"8",8,43.757941246716
"9",9,64.9514681935179
"10",10,59.4979058557016
"11",11,55.5923223198672
"12",12,62.9282714541469
"13",13,37.2410009455329
"14",14,59.9925437338687
"15",15,40.4868874495906
"16",16,59.4629806910753
"17",17,58.3438404631714
"18",18,59.5840654250391
"19",19,37.693053238283
"20",20,68.1306602892375
"21",21,41.7168172749677
"22",22,52.5845134467975
"23",23,58.7529786319778
"24",24,65.6052744040814
"25",25,61.6702819956616
"26",26,52.4866889085586
"27",27,61.0754548205054
"28",28,58.2231008020464
"29",29,46.6053139379546
"30",30,41.1097152428811
"31",31,58.7069902282772
"32",32,36.363081705563
"33",33,36.4315701329851
"34",34,50.4528854728439
"35",35,36.3842866442136
"36",36,36.4850428308741
"37",37,41.213998773079
"38",38,67.5716156981086
"39",39,50.7578582074611
"40",40,46.9625751285705
"41",41,58.6966974182288
"42",42,49.9463794450294
"43",43,62.4979282418307
"44",44,46.7881114690239
"45",45,46.6819156061621
"46",46,57.8525833186387
"47",47,44.1299211477697
"48",48,58.7591036706919
"49",49,44.9537511342681
"50",50,61.8297232601588
"51",51,45.4870632041245
"52",52,46.0424987746736
"53",53,53.9884072089625
"54",54,46.3091574418569
"55",55,52.002217520446
"56",56,61.2697189118887
"57",57,45.7782333820416
"58",58,46.8273824572131
"59",59,53.7404834996163
"60",60,58.2395526362507
"61",61,53.2995792291091
"62",62,47.1155320916156
"63",63,55.5982610745101
"64",64,62
"65",65,59.7943491025757
"66",66,60.8437962755217
"67",67,59.2146475253885
"68",68,64.1234773650082
"69",69,61.9227861623161
"70",70,59.2442357974804
"71",71,58.2248026541586
"72",72,59.3605460537531
"73",73,52.94261064535
"74",74,45.6330115060509
"75",75,57.1519414089747
"76",76,61.9953846765958
"77",77,47.5536437589557
"78",78,42.5546428075618
"79",79,42.6849164400721
"80",80,42.1424701847377
"81",81,43.0590152459698
"82",82,52.3659009332376
"83",83,66.3397661357149
"84",84,62.1095493516005
"85",85,62
"86",86,62
"87",87,62
"88",88,58.8484814271198
"89",89,58.7994856549878
"90",90,60.4060916532101
"91",91,61.9205736725286
"92",92,61.1241256063314
"93",93,37.9071453773436
"94",94,57.4177767628978
"95",95,61.0712594866792
"96",96,60.258489407203
"97",97,58.9787055739396
