subcatchment,total_precip_in,total_runon_in,total_evap_in,total_infil_in,imperv_runoff_in,perv_runoff_in,total_runoff_in,total_runoff_10_6_gal,peak_runoff_cfs,runoff_coeff
1,2.6,0,0,2.11,0,0.4,0.4,2.06,11.5,0.154
2,2.6,0.29,0,2.02,0,0.81,0.81,5.63,43.64,0.278
3,2.6,0,0,1.97,0,0.52,0.52,4.44,19.3,0.2
4,2.6,0,0,1.17,1,0.41,1.41,0.22,4.21,0.544
5,2.6,0,0,0.78,1.55,0.28,1.83,0.05,0.88,0.703
6,2.6,0,0,1.07,0,0,0,0,0,0
7,2.6,0,0,1.7,0.37,0.49,0.86,1.17,21.89,0.331
8,2.6,0,0,1.2,1.22,0.17,1.39,0.13,2.42,0.535
9,2.6,0,0,1.84,0.05,0.67,0.72,0.39,8.44,0.275
10,2.6,0,0,1.05,1.22,0.32,1.54,0.51,9.37,0.593
11,2.6,0,0,0.8,1.55,0.21,1.76,1.61,21.49,0.679
12,2.6,0,0,1.36,0.75,0.46,1.21,0.21,4.01,0.467
13,2.6,0,0,0.92,1.58,0.08,1.66,0.22,3.76,0.639
14,2.6,0,0,0.94,1.36,0.29,1.65,0.25,4.6,0.634
15,2.6,0,0,1.09,1.39,0.1,1.49,0.18,3.05,0.574
16,2.6,0,0,1.36,0.77,0.45,1.22,0.19,3.96,0.47
17,2.6,0,0,1.05,1.25,0.28,1.53,0.23,4.24,0.59
18,2.6,0,0,1.16,1.08,0.34,1.42,0.26,4.8,0.545
19,2.6,0,0,1.33,1.13,0.12,1.25,0.24,4.17,0.48
20,2.6,0,0,1.6,0.15,0.8,0.96,1.94,31.03,0.368
21,2.6,0,0,0.81,1.68,0.1,1.78,0.09,1.51,0.683
22,2.6,0,0,0.89,1.5,0.21,1.72,0.11,2.08,0.66
23,2.6,0,0,0.76,1.56,0.25,1.81,0.8,12.18,0.697
24,2.6,0,0,1.83,0.02,0.72,0.74,2.75,61.84,0.285
25,2.6,0,0,1.42,0.69,0.46,1.16,0.31,6.07,0.445
26,2.6,0,0,0.98,1.37,0.23,1.6,0.21,3.75,0.616
27,2.6,0,0,1.69,0.35,0.53,0.88,0.38,7.9,0.338
28,2.6,0,0,1.04,1.18,0.34,1.52,1.33,20.89,0.585
29,2.6,0,0,0.79,1.66,0.14,1.8,0.07,1.23,0.693
30,2.6,0,0,1.65,0.75,0.17,0.92,0.06,1.09,0.352
31,2.6,0,0,1.03,1.23,0.33,1.56,0.22,4.22,0.599
32,2.6,0,0,1.04,1.44,0.1,1.54,0.19,3.39,0.592
33,2.6,0,0,1.12,1.37,0.09,1.46,0.3,5.13,0.561
34,2.6,0,0,0.97,1.45,0.16,1.6,0.44,7.56,0.617
35,2.6,0,0,0.98,1.51,0.09,1.6,0.16,2.87,0.617
36,2.6,0,0,1,1.49,0.1,1.59,0.1,1.8,0.612
37,2.6,0,0,0.99,1.49,0.11,1.59,0.24,4.07,0.613
38,2.6,0,0,1.79,0,0.69,0.7,5.39,24.86,0.268
39,2.6,0,0,1.22,1.12,0.24,1.36,0.18,3.26,0.523
40,2.6,0,0,0.75,1.71,0.15,1.86,0.09,1.61,0.714
41,2.6,0,0,2.08,0,0.49,0.49,0.31,6.25,0.189
42,2.6,0,0,1.11,1.35,0.12,1.46,1,16.02,0.563
43,2.6,0,0,1.96,0,0.6,0.61,0.19,3.92,0.233
44,2.6,0,0,0.95,1.48,0.17,1.65,0.25,4.56,0.634
45,2.6,0,0,0.52,1.99,0.1,2.09,0.27,4.68,0.803
46,2.6,0,0,0.8,1.56,0.23,1.79,0.23,4.19,0.688
47,2.6,0,0,0.58,1.93,0.1,2.03,0.21,3.62,0.782
48,2.6,0,0,1.2,1.04,0.34,1.38,0.38,7.06,0.53
49,2.6,0,0,0.86,1.6,0.14,1.74,0.34,6.12,0.67
50,2.6,0,0,1.85,0.04,0.68,0.72,0.14,3.64,0.278
51,2.6,0,0,0.76,1.71,0.11,1.82,0.22,3.83,0.701
52,2.6,0,0,1.13,1.28,0.18,1.46,0.47,8.48,0.56
53,2.6,0,0,1.39,0.84,0.36,1.19,0.11,2.12,0.459
54,2.6,0,0,0.75,1.72,0.13,1.84,0.35,6.09,0.709
55,2.6,0,0,1.23,1.12,0.22,1.35,0.38,6.85,0.518
56,2.6,0,0,1.75,0.19,0.63,0.82,0.33,7.79,0.316
57,2.6,0,0,0.96,1.47,0.16,1.63,0.32,5.66,0.626
58,2.6,0,0,1.06,1.31,0.24,1.55,0.77,14.23,0.596
59,2.6,0,0,0.86,1.53,0.2,1.73,0.26,4.67,0.666
60,2.6,0,0,0.66,1.74,0.21,1.95,0.16,2.86,0.75
61,2.6,0,0,1.06,1.28,0.24,1.52,0.36,6.62,0.586
62,2.6,0,0,0.96,1.49,0.13,1.62,0.82,14.02,0.623
63,2.6,0,0,0.87,1.54,0.16,1.7,1.34,21.56,0.656
64,2.6,0,0,1.66,0.27,0.64,0.91,0.1,2.41,0.351
65,2.6,0,0,0.88,1.44,0.28,1.72,0.33,6.06,0.66
66,2.6,0,0,1.37,0.79,0.41,1.2,0.23,4.37,0.463
67,2.6,0,0,0.69,1.7,0.21,1.91,0.45,8,0.735
68,2.6,0,0,0.81,1.47,0.31,1.78,0.34,6.16,0.683
69,2.6,0,0,1.16,1.03,0.38,1.42,0.15,2.82,0.545
70,2.6,0,0,1.16,1.01,0.43,1.44,0.21,4.17,0.553
71,2.6,0,0,0.74,1.65,0.2,1.85,0.19,3.27,0.711
72,2.6,0,0,1.08,1.18,0.32,1.5,0.33,6.11,0.578
73,2.6,0,0,1.6,0.66,0.31,0.97,0.36,6.64,0.373
74,2.6,0,0,1.21,1.29,0.06,1.35,1.34,19.26,0.52
75,2.6,0,0,1.06,1.29,0.22,1.51,0.61,10.5,0.582
76,2.6,0,0,1.55,0.57,0.45,1.01,0.97,16.94,0.39
77,2.6,0,0,1.69,0.72,0.16,0.88,0.29,4.9,0.339
78,2.6,0,0,1.32,1.18,0.07,1.25,0.99,15.38,0.481
79,2.6,0,0,1.02,1.45,0.12,1.56,0.69,11.91,0.602
80,2.6,0,0,1.67,0,0,0,0,0,0
81,2.6,0,0,1.07,1.39,0.12,1.51,0.27,4.71,0.581
82,2.6,0,0,1.03,1.31,0.26,1.57,0.06,1.2,0.602
83,2.6,0,0,1.81,0,0.75,0.75,0.12,2.67,0.289
84,2.6,0,0,1.85,0.12,0.6,0.71,0.38,8.2,0.275
85,2.6,0,0,1.9,0.01,0.65,0.67,0.12,2.82,0.256
86,2.6,0,0,1.91,0,0.66,0.66,0.11,2.6,0.255
87,2.6,0,0,1.88,0.01,0.67,0.68,0.09,2.29,0.262
88,2.6,0,0,1.09,1.18,0.31,1.49,0.23,4.18,0.573
89,2.6,0,0,0.95,1.41,0.21,1.62,0.94,15.98,0.624
90,2.6,0,0,1.89,0.1,0.58,0.67,0.39,8.48,0.259
91,2.6,0,0,1.01,1.28,0.29,1.56,0.53,9.28,0.601
92,2.6,0,0,1.94,0.01,0.62,0.63,0.14,3.32,0.243
93,2.6,0,0,1.83,0.67,0.06,0.73,0.24,3.95,0.282
94,2.6,0,0,2,0,0.54,0.54,1.23,11.43,0.21
95,2.6,0,0,1.28,0.89,0.41,1.29,0.26,4.92,0.497
96,2.6,0,0,1.77,0.24,0.56,0.8,0.31,6.91,0.308
97,2.6,0,0,1.02,1.25,0.32,1.57,0.21,4.01,0.605
