"time_step","discharge_obs_cfs","simulated_flow_cfs"
0,0.49,0
0.25,0.45,0
0.5,0.49,0
0.75,0.45,0
1,0.45,0
1.25,0.45,0
1.5,0.45,0
1.75,0.6,0
2,0.85,0
2.25,13.2,0
2.5,7.77,0
2.75,4.39,0
3,4.99,9.15
3.25,5.65,10.15
3.5,4.69,4.03
3.75,4.4,13.35
4,3.86,11.14
4.25,8.14,4.22
4.5,29.1,63.25
4.75,34.4,125.86
5,27.7,101.65
5.25,23.1,27.63
5.5,21.2,114.11
5.75,17.8,50.35
6,16.2,16.36
6.25,14.1,5.53
6.5,21.2,2.49
6.75,20.6,1.37
7,20,11.98
7.25,21.8,13.81
7.5,22.5,19.04
7.75,20.6,14.45
8,19.5,5.32
8.25,22.5,2.46
8.5,28.4,40.27
8.75,29.8,85.62
9,28.4,31.91
9.25,28.4,8.96
9.5,26.3,3.85
9.75,29.1,2.06
10,28.4,12.84
10.25,27,14
10.5,28.4,5.32
10.75,31.3,38.23
11,32,47.73
11.25,35.3,91.15
11.5,33.5,50.06
11.75,38.2,30.16
12,32,24.35
12.25,51.1,48.32
12.5,77.5,113.2
12.75,134,219.11
13,179,211.58
13.25,163,144.99
13.5,128,132.73
13.75,136,128.87
14,104,127.07
14.25,86.8,85.79
14.5,96.6,107.04
14.75,102,118.91
15,102,161.06
15.25,124,137.46
15.5,158,175.89
15.75,151,150.33
16,111,146.34
16.25,98.4,103.8
16.5,80.6,126.1
16.75,90,101.61
17,80.6,86.67
17.25,74.6,78.04
17.5,63.5,71.39
17.75,62.2,65.92
18,60.9,61.26
18.25,57.1,57.3
18.5,55.9,53.86
18.75,52.3,50.84
19,52.3,48.16
19.25,47.7,45.75
19.5,46.6,43.59
19.75,43.4,41.62
20,43.4,39.82
20.25,42.3,38.19
20.5,41.3,36.67
20.75,42.3,35.26
21,39.3,33.95
21.25,39.3,32.73
21.5,39.3,31.59
