"subcatchment","n_imperv","n_perv","s_imperv","s_perv","pctzero","RouteTo"
1,0.01,0.4,0.2,0.3,0,"OUTLET"
2,0.01,0.4,0.2,0.3,0,"OUTLET"
3,0.01,0.4,0.2,0.3,0,"OUTLET"
4,0.01,0.4,0.2,0.3,0,"OUTLET"
5,0.01,0.4,0.2,0.3,0,"OUTLET"
6,0.01,0.4,0.2,0.3,0,"OUTLET"
7,0.01,0.4,0.2,0.3,0,"OUTLET"
8,0.01,0.4,0.2,0.3,0,"OUTLET"
9,0.01,0.4,0.2,0.3,0,"OUTLET"
10,0.01,0.4,0.2,0.3,0,"OUTLET"
11,0.01,0.4,0.2,0.3,0,"OUTLET"
12,0.01,0.4,0.2,0.3,0,"OUTLET"
13,0.01,0.4,0.2,0.3,0,"OUTLET"
14,0.01,0.4,0.2,0.3,0,"OUTLET"
15,0.01,0.4,0.2,0.3,0,"OUTLET"
16,0.01,0.4,0.2,0.3,0,"OUTLET"
17,0.01,0.4,0.2,0.3,0,"OUTLET"
18,0.01,0.4,0.2,0.3,0,"OUTLET"
19,0.01,0.4,0.2,0.3,0,"OUTLET"
20,0.01,0.4,0.2,0.3,0,"OUTLET"
21,0.01,0.4,0.2,0.3,0,"OUTLET"
22,0.01,0.4,0.2,0.3,0,"OUTLET"
23,0.01,0.4,0.2,0.3,0,"OUTLET"
24,0.01,0.4,0.2,0.3,0,"OUTLET"
25,0.01,0.4,0.2,0.3,0,"OUTLET"
26,0.01,0.4,0.2,0.3,0,"OUTLET"
27,0.01,0.4,0.2,0.3,0,"OUTLET"
28,0.01,0.4,0.2,0.3,0,"OUTLET"
29,0.01,0.4,0.2,0.3,0,"OUTLET"
30,0.01,0.4,0.2,0.3,0,"OUTLET"
31,0.01,0.4,0.2,0.3,0,"OUTLET"
32,0.01,0.4,0.2,0.3,0,"OUTLET"
33,0.01,0.4,0.2,0.3,0,"OUTLET"
34,0.01,0.4,0.2,0.3,0,"OUTLET"
35,0.01,0.4,0.2,0.3,0,"OUTLET"
36,0.01,0.4,0.2,0.3,0,"OUTLET"
37,0.01,0.4,0.2,0.3,0,"OUTLET"
38,0.01,0.4,0.2,0.3,0,"OUTLET"
39,0.01,0.4,0.2,0.3,0,"OUTLET"
40,0.01,0.4,0.2,0.3,0,"OUTLET"
41,0.01,0.4,0.2,0.3,0,"OUTLET"
42,0.01,0.4,0.2,0.3,0,"OUTLET"
43,0.01,0.4,0.2,0.3,0,"OUTLET"
44,0.01,0.4,0.2,0.3,0,"OUTLET"
45,0.01,0.4,0.2,0.3,0,"OUTLET"
46,0.01,0.4,0.2,0.3,0,"OUTLET"
47,0.01,0.4,0.2,0.3,0,"OUTLET"
48,0.01,0.4,0.2,0.3,0,"OUTLET"
49,0.01,0.4,0.2,0.3,0,"OUTLET"
50,0.01,0.4,0.2,0.3,0,"OUTLET"
51,0.01,0.4,0.2,0.3,0,"OUTLET"
52,0.01,0.4,0.2,0.3,0,"OUTLET"
53,0.01,0.4,0.2,0.3,0,"OUTLET"
54,0.01,0.4,0.2,0.3,0,"OUTLET"
55,0.01,0.4,0.2,0.3,0,"OUTLET"
56,0.01,0.4,0.2,0.3,0,"OUTLET"
57,0.01,0.4,0.2,0.3,0,"OUTLET"
58,0.01,0.4,0.2,0.3,0,"OUTLET"
59,0.01,0.4,0.2,0.3,0,"OUTLET"
60,0.01,0.4,0.2,0.3,0,"OUTLET"
61,0.01,0.4,0.2,0.3,0,"OUTLET"
62,0.01,0.4,0.2,0.3,0,"OUTLET"
63,0.01,0.4,0.2,0.3,0,"OUTLET"
64,0.01,0.4,0.2,0.3,0,"OUTLET"
65,0.01,0.4,0.2,0.3,0,"OUTLET"
66,0.01,0.4,0.2,0.3,0,"OUTLET"
67,0.01,0.4,0.2,0.3,0,"OUTLET"
68,0.01,0.4,0.2,0.3,0,"OUTLET"
69,0.01,0.4,0.2,0.3,0,"OUTLET"
70,0.01,0.4,0.2,0.3,0,"OUTLET"
71,0.01,0.4,0.2,0.3,0,"OUTLET"
72,0.01,0.4,0.2,0.3,0,"OUTLET"
73,0.01,0.4,0.2,0.3,0,"OUTLET"
74,0.01,0.4,0.2,0.3,0,"OUTLET"
75,0.01,0.4,0.2,0.3,0,"OUTLET"
76,0.01,0.4,0.2,0.3,0,"OUTLET"
77,0.01,0.4,0.2,0.3,0,"OUTLET"
78,0.01,0.4,0.2,0.3,0,"OUTLET"
79,0.01,0.4,0.2,0.3,0,"OUTLET"
80,0.01,0.4,0.2,0.3,0,"OUTLET"
81,0.01,0.4,0.2,0.3,0,"OUTLET"
82,0.01,0.4,0.2,0.3,0,"OUTLET"
83,0.01,0.4,0.2,0.3,0,"OUTLET"
84,0.01,0.4,0.2,0.3,0,"OUTLET"
85,0.01,0.4,0.2,0.3,0,"OUTLET"
86,0.01,0.4,0.2,0.3,0,"OUTLET"
87,0.01,0.4,0.2,0.3,0,"OUTLET"
88,0.01,0.4,0.2,0.3,0,"OUTLET"
89,0.01,0.4,0.2,0.3,0,"OUTLET"
90,0.01,0.4,0.2,0.3,0,"OUTLET"
91,0.01,0.4,0.2,0.3,0,"OUTLET"
92,0.01,0.4,0.2,0.3,0,"OUTLET"
93,0.01,0.4,0.2,0.3,0,"OUTLET"
94,0.01,0.4,0.2,0.3,0,"OUTLET"
95,0.01,0.4,0.2,0.3,0,"OUTLET"
96,0.01,0.4,0.2,0.3,0,"OUTLET"
97,0.01,0.4,0.2,0.3,0,"OUTLET"
